,Date.Time,Time.x,timeNum,Lat,Lon,Base,Day,Dayofweek.x,Month.x,Year.x,Time.y,newTemp,Dayofweek.y,Month.y,Year.y
106,5/1/2014 6:14,6:14:00,7,40.7448,-73.9799,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
107,5/1/2014 6:14,6:14:00,7,40.7744,-73.9456,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
108,5/1/2014 6:16,6:16:00,7,40.6292,-73.8999,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
109,5/1/2014 6:17,6:17:00,7,40.7766,-73.9809,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
110,5/1/2014 6:17,6:17:00,7,40.7647,-73.9783,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
111,5/1/2014 6:18,6:18:00,7,40.7724,-73.9533,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
112,5/1/2014 6:19,6:19:00,7,40.7234,-73.9828,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
113,5/1/2014 6:19,6:19:00,7,40.7643,-73.9959,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
114,5/1/2014 6:21,6:21:00,7,40.7355,-74.0033,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
115,5/1/2014 6:25,6:25:00,7,40.7783,-73.955,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
116,5/1/2014 6:27,6:27:00,7,40.7356,-73.9925,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
117,5/1/2014 6:29,6:29:00,7,40.7439,-73.9916,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
118,5/1/2014 6:31,6:31:00,7,40.7644,-73.9656,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
119,5/1/2014 6:35,6:35:00,7,40.7388,-74.0089,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
120,5/1/2014 6:40,6:40:00,7,40.7239,-74.0368,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
121,5/1/2014 6:42,6:42:00,7,40.7667,-73.971,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
122,5/1/2014 6:43,6:43:00,7,40.7365,-73.997,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
123,5/1/2014 6:44,6:44:00,7,40.7817,-73.949,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
124,5/1/2014 6:44,6:44:00,7,40.7825,-73.9826,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
125,5/1/2014 6:44,6:44:00,7,40.7431,-74.0369,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
126,5/1/2014 6:46,6:46:00,7,40.7209,-74.0787,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
127,5/1/2014 6:46,6:46:00,7,40.8,-73.9688,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
128,5/1/2014 6:49,6:49:00,7,40.8551,-73.9311,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
129,5/1/2014 6:51,6:51:00,7,40.7621,-73.9788,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
130,5/1/2014 6:53,6:53:00,7,40.745,-74.0024,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
131,5/1/2014 6:55,6:55:00,7,40.7586,-73.9892,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
132,5/1/2014 6:55,6:55:00,7,40.7739,-73.9498,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
133,5/1/2014 6:55,6:55:00,7,40.7842,-73.9484,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
134,5/1/2014 6:57,6:57:00,7,40.7367,-73.9857,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
135,5/1/2014 6:59,6:59:00,7,40.7093,-74.0055,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
136,5/1/2014 7:00,7:00:00,8,40.7831,-73.9845,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
137,5/1/2014 7:01,7:01:00,8,40.7067,-74.0162,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
138,5/1/2014 7:01,7:01:00,8,40.8079,-73.9556,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
139,5/1/2014 7:03,7:03:00,8,40.6781,-73.9979,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
140,5/1/2014 7:03,7:03:00,8,40.6701,-73.9831,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
141,5/1/2014 7:03,7:03:00,8,40.7712,-73.95,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
142,5/1/2014 7:03,7:03:00,8,40.6912,-73.99,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
143,5/1/2014 7:04,7:04:00,8,40.717,-74.033,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
144,5/1/2014 7:05,7:05:00,8,40.7375,-74.0077,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
145,5/1/2014 7:05,7:05:00,8,40.7739,-73.8715,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
146,5/1/2014 7:06,7:06:00,8,40.7522,-73.9766,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
147,5/1/2014 7:07,7:07:00,8,40.734,-74.0047,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
148,5/1/2014 7:09,7:09:00,8,40.7887,-73.9775,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
149,5/1/2014 7:10,7:10:00,8,40.786,-73.9529,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
150,5/1/2014 7:12,7:12:00,8,40.7749,-73.9486,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
151,5/1/2014 7:12,7:12:00,8,40.7612,-73.9988,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
152,5/1/2014 7:13,7:13:00,8,40.6879,-73.9954,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
153,5/1/2014 7:13,7:13:00,8,40.7688,-73.958,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
154,5/1/2014 7:13,7:13:00,8,40.6782,-73.9759,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
155,5/1/2014 7:15,7:15:00,8,40.7758,-73.9588,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
156,5/1/2014 7:17,7:17:00,8,40.7731,-73.9545,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
157,5/1/2014 7:17,7:17:00,8,40.7231,-73.991,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
158,5/1/2014 7:17,7:17:00,8,40.7675,-73.9925,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
159,5/1/2014 7:19,7:19:00,8,40.7739,-73.9615,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
160,5/1/2014 7:19,7:19:00,8,40.7425,-74.039,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
161,5/1/2014 7:19,7:19:00,8,40.7798,-73.9747,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
162,5/1/2014 7:20,7:20:00,8,40.6461,-73.7768,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
163,5/1/2014 7:21,7:21:00,8,40.7213,-73.9875,B02512,1,Thu,May,2014,7:00:00,56.6474,Thu,May,2014
